00003780 FUN_00003780
80000000 FUN_80000000
80000078 FUN_80000078
800000be FUN_800000be
800000bf FUN_800000bf
800000c0 FUN_800000c0
800000c1 FUN_800000c1
8000046c FUN_8000046c
80000480 FUN_80000480
800007d0 FUN_800007d0
80000820 FUN_80000820
800009c0 unknown_referencing_default_name_1
80000a5c FUN_80000a5c
80000c24 FUN_80000c24
80000c74 FUN_80000c74
80000d78 FUN_80000d78
80000fb8 FUN_80000fb8
800011fc FUN_800011fc
800012b8 FUN_800012b8
800013a4 FUN_800013a4
80001470 FUN_80001470
8000151c FUN_8000151c
80001564 FUN_80001564
80001648 FUN_80001648
80001944 FUN_80001944
80001990 FUN_80001990
80001ad8 FUN_80001ad8
80001b3c FUN_80001b3c
80001c4c FUN_80001c4c
80001f34 FUN_80001f34
80002048 FUN_80002048
800021c0 FUN_800021c0
800022e4 FUN_800022e4
80002488 FUN_80002488
80002974 FUN_80002974
80002a8c FUN_80002a8c
80002b60 FUN_80002b60
80002cc0 FUN_80002cc0
80002e64 FUN_80002e64
800030a0 FUN_800030a0
8000333c FUN_8000333c
8000355c FUN_8000355c
80003674 FUN_80003674
80003cc0 FUN_80003cc0
80003d10 func2_that_uses_structs_at_0x80100000
800045b4 FUN_800045b4
800045e0 FUN_800045e0
800046b8 FUN_800046b8
80004820 FUN_80004820
80004d74 FUN_80004d74
80004df8 FUN_80004df8
80004e9c FUN_80004e9c
80004f28 FUN_80004f28
80004fd8 FUN_80004fd8
800051d4 FUN_800051d4
80005368 FUN_80005368
800054e8 FUN_800054e8
800055ec FUN_800055ec
8000576c FUN_8000576c
80005998 FUN_80005998
80005b08 FUN_80005b08
80005b30 FUN_80005b30
80005d80 FUN_80005d80
80005f34 FUN_80005f34
80005fb8 FUN_80005fb8
80006384 FUN_80006384
800066ac FUN_800066ac
800066fc FUN_800066fc
80006cb8 FUN_80006cb8
80006d0c FUN_80006d0c
80007330 FUN_80007330
800075dc FUN_800075dc
80007654 FUN_80007654
800079f0 FUN_800079f0
80007af0 FUN_80007af0
80008328 FUN_80008328
800083ec FUN_800083ec
800085a4 FUN_800085a4
80008a7c FUN_80008a7c
80008a94 FUN_80008a94
80008aa4 FUN_80008aa4
80008ab4 FUN_80008ab4
80008ac4 FUN_80008ac4
80008ad4 FUN_80008ad4
80008aec FUN_80008aec
80008b30 FUN_80008b30
80008b74 FUN_80008b74
80008ba8 FUN_80008ba8
80008be8 FUN_80008be8
80008c28 FUN_80008c28
80008c60 FUN_80008c60
80008c98 FUN_80008c98
80008cd8 FUN_80008cd8
80008d18 log_many_2_0x72_0x121-0x14e
80008eac FUN_80008eac
80008f04 FUN_80008f04
80009014 FUN_80009014
80009038 FUN_80009038
80009060 FUN_80009060
80009082 FUN_80009082
80009088 FUN_80009088
800090b8 FUN_800090b8
800090dc FUN_800090dc
800090fe FUN_800090fe
80009104 disable_interrupts_(clear_LSBit_of_CP0_Status_Register)
80009120 enable_interrupts_(set_CP0_Status_to_arg)
80009130 FUN_80009130
8000913c FUN_8000913c
80009148 VSC_0xfc11_3_in_while_loop_FUN_80009148
8000914c FUN_8000914c
80009154 FUN_80009154
8000915c FUN_8000915c
80009220 FUN_80009220
80009222 FUN_80009222
80009223 FUN_80009223
80009224 FUN_80009224
80009232 FUN_80009232
80009233 FUN_80009233
80009234 FUN_80009234
80009242 FUN_80009242
80009243 FUN_80009243
80009244 FUN_80009244
8000924c FUN_8000924c
8000924d FUN_8000924d
8000924e FUN_8000924e
8000924f FUN_8000924f
80009250 FUN_80009250
8000925a FUN_8000925a
8000925b FUN_8000925b
8000925c FUN_8000925c
80009266 FUN_80009266
80009267 FUN_80009267
80009268 FUN_80009268
8000926e FUN_8000926e
8000926f FUN_8000926f
80009270 FUN_80009270
80009276 FUN_80009276
80009277 FUN_80009277
80009278 FUN_80009278
80009279 FUN_80009279
8000927a FUN_8000927a
80009288 FUN_80009288
80009289 FUN_80009289
8000928a FUN_8000928a
8000928c FUN_8000928c
800092a4 FUN_800092a4
800092b4 FUN_800092b4
800092b5 FUN_800092b5
800092b6 FUN_800092b6
800092b7 FUN_800092b7
800092b8 FUN_800092b8
800092c6 FUN_800092c6
800092c7 FUN_800092c7
800092c8 FUN_800092c8
800092dc FUN_800092dc
800092e4 memcmp
8000937c FUN_8000937c
800093d0 FUN_800093d0
800093e4 FUN_800093e4
800093f8 wrap_set_two_global_ptrs
80009414 called_by_function_that_uses_Logger_string_1
8000942c FUN_8000942c
80009680 FUN_80009680
80009694 FUN_80009694
800096c8 FUN_800096c8
800096ca FUN_800096ca
800096d4 FUN_800096d4
80009748 FUN_80009748
80009754 FUN_80009754
80009760 FUN_80009760
80009774 FUN_80009774
80009794 FUN_80009794
800097c8 FUN_800097c8
800097ec FUN_800097ec
80009814 FUN_80009814
80009834 FUN_80009834
80009858 FUN_80009858
8000987c FUN_8000987c
800098d4 FUN_800098d4
800098d6 FUN_800098d6
800098d8 possible_logger_called_if_no_patch3
80009934 FUN_80009934
80009950 FUN_80009950
80009990 interesting_string_user_fptr_registration_function
80009a04 FUN_80009a04
80009a30 LMP__25C_called1
80009a6c FUN_80009a6c
80009ac8 LMP__25B__most_common_for_VSCs1
80009b1c FUN_80009b1c
80009b7c FUN_80009b7c
80009b8c wraps_uninteresting_if_0x80100000!=0_which_its_not_in_my_tests
80009be4 ret_ptr_to_2nd_arg_from_first_arg
80009c40 FUN_80009c40
80009c7c FUN_80009c7c
80009c7e FUN_80009c7e
80009c80 FUN_80009c80
80009cc0 reg_multiple_dptrs?_FUN_80009cc0
80009d30 FUN_80009d30
80009d98 FUN_80009d98
80009d9c FUN_80009d9c
80009dac FUN_80009dac
80009dfc FUN_80009dfc
80009f00 FUN_80009f00
80009f68 FUN_80009f68
80009fd8 FUN_80009fd8
8000a074 FUN_8000a074
8000a130 FUN_8000a130
8000a1c0 FUN_8000a1c0
8000a2ac FUN_8000a2ac
8000a310 FUN_8000a310
8000a4ac FUN_8000a4ac
8000a4f8 FUN_8000a4f8
8000a570 FUN_8000a570
8000a780 FUN_8000a780
8000a8e8 FUN_8000a8e8
8000aa64 FUN_8000aa64
8000b068 FUN_8000b068
8000b138 FUN_8000b138
8000b218 FUN_8000b218
8000b348 FUN_8000b348
8000b820 FUN_8000b820
8000b858 FUN_8000b858
8000b864 FUN_8000b864
8000b890 FUN_8000b890
8000bae0 FUN_8000bae0
8000bb58 FUN_8000bb58
8000bb94 FUN_8000bb94
8000bbe0 FUN_8000bbe0
8000bc38 FUN_8000bc38
8000bd04 VSC_0xfc6c_FUN_8000bd04
8000bd34 FUN_8000bd34
8000bd54 FUN_8000bd54
8000bd68 FUN_8000bd68
8000bd78 FUN_8000bd78
8000bdb4 VSC_common_used_in_0xfc39_FUN_8000bdb4
8000bdc4 FUN_8000bdc4
8000bdd4 FUN_8000bdd4
8000be28 FUN_8000be28
8000be3c FUN_8000be3c
8000be84 VSC_0xfc39_1_FUN_8000be84
8000beac FUN_8000beac
8000bf04 FUN_8000bf04
8000bf48 FUN_8000bf48
8000bfa4 FUN_8000bfa4
8000c000 FUN_8000c000
8000c09c unknown_referencing_default_name_3
8000c198 unknown_referencing_default_name_4
8000c350 FUN_8000c350
8000c390 unknown_referencing_default_name_5
8000c3f4 FUN_8000c3f4
8000c5c8 FUN_8000c5c8
8000c664 FUN_8000c664
8000c688 FUN_8000c688
8000c738 FUN_8000c738
8000c77c FUN_8000c77c
8000c7cc FUN_8000c7cc
8000c848 FUN_8000c848
8000c870 FUN_8000c870
8000c898 FUN_8000c898
8000c8b8 FUN_8000c8b8
8000c92c FUN_8000c92c
8000c940 FUN_8000c940
8000c964 FUN_8000c964
8000c988 FUN_8000c988
8000c9ac FUN_8000c9ac
8000c9d0 FUN_8000c9d0
8000c9ec FUN_8000c9ec
8000ca1c FUN_8000ca1c
8000cad4 FUN_8000cad4
8000cbd8 FUN_8000cbd8
8000cc34 FUN_8000cc34
8000cc54 FUN_8000cc54
8000cc74 FUN_8000cc74
8000cc88 FUN_8000cc88
8000cd90 FUN_8000cd90
8000ce78 FUN_8000ce78
8000cec4 FUN_8000cec4
8000cf28 FUN_8000cf28
8000cf94 FUN_8000cf94
8000cfcc FUN_8000cfcc
8000cfdc FUN_8000cfdc
8000cffc FUN_8000cffc
8000d01c FUN_8000d01c
8000d030 FUN_8000d030
8000d138 FUN_8000d138
8000d228 FUN_8000d228
8000d2d0 FUN_8000d2d0
8000d3c0 FUN_8000d3c0
8000d460 FUN_8000d460
8000d4d4 FUN_8000d4d4
8000d5fc FUN_8000d5fc
8000d750 FUN_8000d750
8000d790 FUN_8000d790
8000d83c FUN_8000d83c
8000d8b0 FUN_8000d8b0
8000d8f8 FUN_8000d8f8
8000dbdc FUN_8000dbdc
8000dcd4 FUN_8000dcd4
8000dd00 FUN_8000dd00
8000ded8 FUN_8000ded8
8000df94 FUN_8000df94
8000e004 FUN_8000e004
8000e088 FUN_8000e088
8000e0dc FUN_8000e0dc
8000e1b0 FUN_8000e1b0
8000e380 FUN_8000e380
8000e470 FUN_8000e470
8000e4bc FUN_8000e4bc
8000e764 FUN_8000e764
8000e85c optimized_memcpy
8000e8c0 FUN_8000e8c0
8000e98c memset
8000e9cc references_patch_download_mem2
8000ea1c FUN_8000ea1c
8000ead4 FUN_8000ead4
8000eba0 FUN_8000eba0
8000ebfc FUN_8000ebfc
8000ec34 FUN_8000ec34
8000ec64 FUN_8000ec64
8000ed04 FUN_8000ed04
8000ed30 FUN_8000ed30
8000eda0 FUN_8000eda0
8000f0a4 called_by_unknown_fptr_index9_1
8000f41c FUN_8000f41c
